package	own_source_loc_rust	is_binary	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
sys-apps/syd-3.55.0	367232	yes	34	0	34	0	OK	./.upstream-cache/syd-3.55.0/build.rs:16:fn main() -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/syd-3.55.0/rax/src/lib.rs:1775:    fn source(&self) -> Option<&(dyn error::Error + 'static)> {|./.upstream-cache/syd-3.55.0/src/utils/syd-oci.rs:405:    executor: Box<dyn Executor>,|
app-shells/nushell-0.112.1	361319	yes	375	0	375	0	OK	./.upstream-cache/nushell-0.112.1/tests/repl/tests.rs:8:pub type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.112.1/tests/integration/cli.rs:4:type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.112.1/crates/nu-protocol/src/engine/command.rs:203:    fn clone_box(&self) -> Box<dyn Command>;|
app-shells/nushell-0.110.0	335099	yes	352	0	352	0	OK	./.upstream-cache/nushell-0.110.0/tests/repl/tests.rs:8:pub type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.110.0/crates/nu-protocol/src/engine/command.rs:196:    fn clone_box(&self) -> Box<dyn Command>;|./.upstream-cache/nushell-0.110.0/crates/nu-protocol/src/engine/command.rs:203:    fn clone_box(&self) -> Box<dyn Command> {|
app-misc/zellij-0.44.3	275652	yes	376	0	376	0	OK	./.upstream-cache/zellij-0.44.3/default-plugins/about/src/active_component.rs:136:    ChangePage(Box<dyn FnOnce() -> Page>),|./.upstream-cache/zellij-0.44.3/default-plugins/about/src/tips.rs:822:fn screencasts_link_selected() -> Box<dyn Fn(usize, usize) -> usize> {|./.upstream-cache/zellij-0.44.3/default-plugins/about/src/tips.rs:833:fn screencasts_link_selected_len() -> Box<dyn Fn() -> usize> {|
app-misc/zellij-0.44.2	274219	yes	376	0	376	0	OK	./.upstream-cache/zellij-0.44.2/default-plugins/about/src/active_component.rs:136:    ChangePage(Box<dyn FnOnce() -> Page>),|./.upstream-cache/zellij-0.44.2/default-plugins/about/src/tips.rs:822:fn screencasts_link_selected() -> Box<dyn Fn(usize, usize) -> usize> {|./.upstream-cache/zellij-0.44.2/default-plugins/about/src/tips.rs:833:fn screencasts_link_selected_len() -> Box<dyn Fn() -> usize> {|
app-misc/zellij-0.44.1	267056	yes	363	0	363	0	OK	./.upstream-cache/zellij-0.44.1/default-plugins/about/src/active_component.rs:136:    ChangePage(Box<dyn FnOnce() -> Page>),|./.upstream-cache/zellij-0.44.1/default-plugins/about/src/tips.rs:822:fn screencasts_link_selected() -> Box<dyn Fn(usize, usize) -> usize> {|./.upstream-cache/zellij-0.44.1/default-plugins/about/src/tips.rs:833:fn screencasts_link_selected_len() -> Box<dyn Fn() -> usize> {|
dev-vcs/jj-0.42.0	252701	yes	735	0	735	0	OK	./.upstream-cache/jj-0.42.0/cli/examples/custom-commit-templater/main.rs:71:    fn count(&self, repo: &dyn Repo) -> i64 {|./.upstream-cache/jj-0.42.0/cli/examples/custom-commit-templater/main.rs:96:        repo: &dyn Repo,|./.upstream-cache/jj-0.42.0/cli/examples/custom-commit-templater/main.rs:119:    fn new_resolvers<'a>(&self, _repo: &'a dyn Repo) -> Vec<Box<dyn PartialSymbolResolver + 'a>> {|
dev-vcs/jj-0.41.0	250266	yes	736	0	736	0	OK	./.upstream-cache/jj-0.41.0/cli/examples/custom-commit-templater/main.rs:71:    fn count(&self, repo: &dyn Repo) -> i64 {|./.upstream-cache/jj-0.41.0/cli/examples/custom-commit-templater/main.rs:96:        repo: &dyn Repo,|./.upstream-cache/jj-0.41.0/cli/examples/custom-commit-templater/main.rs:119:    fn new_resolvers<'a>(&self, _repo: &'a dyn Repo) -> Vec<Box<dyn PartialSymbolResolver + 'a>> {|
dev-vcs/jj-0.40.0	243716	yes	733	0	733	0	OK	./.upstream-cache/jj-0.40.0/cli/examples/custom-commit-templater/main.rs:69:    fn count(&self, repo: &dyn Repo) -> i64 {|./.upstream-cache/jj-0.40.0/cli/examples/custom-commit-templater/main.rs:91:        repo: &dyn Repo,|./.upstream-cache/jj-0.40.0/cli/examples/custom-commit-templater/main.rs:110:    fn new_resolvers<'a>(&self, _repo: &'a dyn Repo) -> Vec<Box<dyn PartialSymbolResolver + 'a>> {|
dev-util/pixi-0.72.2	219869	yes	273	0	273	0	OK	./.upstream-cache/pixi-0.72.2/crates/pixi_install_pypi/src/lib.rs:338:    pub environment_variables_lazy: Option<&'a dyn LazyEnvironmentVariables>,|./.upstream-cache/pixi-0.72.2/crates/pixi_install_pypi/src/lib.rs:348:    Pin<Box<dyn Future<Output = miette::Result<HashMap<String, String>>> + 't>>;|./.upstream-cache/pixi-0.72.2/crates/pixi_compute_engine/src/key_graph.rs:123:    fn as_any(&self) -> &dyn Any;|
