dwrote	0.11.5	14	./crates-cache/dwrote-0.11.5/src/font_file_loader_impl.rs:83:    data: Arc<dyn AsRef<[u8]> + Sync + Send>,|./crates-cache/dwrote-0.11.5/src/font_file_loader_impl.rs:139:    pub fn new(key: usize, data: Arc<dyn AsRef<[u8]> + Sync + Send>) -> FontFileStream {|./crates-cache/dwrote-0.11.5/src/font_file_loader_impl.rs:198:        font_data: Arc<dyn AsRef<[u8]> + Sync + Send>,|
fdeflate	0.3.7	0	|
fastrand	2.3.0	0	|
foreign-types	0.5.0	0	|
find-msvc-tools	0.1.3	36	./crates-cache/find-msvc-tools-0.1.3/src/find_tools.rs:154:pub fn find_tool_with_env(full_arch: &str, tool: &str, env_getter: &dyn EnvGetter) -> Option<Tool> {|./crates-cache/find-msvc-tools-0.1.3/src/find_tools.rs:389:        fn into_tool(self, env_getter: &dyn EnvGetter) -> Tool {|./crates-cache/find-msvc-tools-0.1.3/src/find_tools.rs:416:    fn is_vscmd_target(target: TargetArch, env_getter: &dyn EnvGetter) -> Option<bool> {|
foreign-types-macros	0.2.3	0	|
foreign-types-shared	0.3.1	0	|
fsevent-sys	4.1.0	0	|
futures-io	0.3.31	0	|
gethostname	1.0.2	0	|
freetype-rs	0.36.0	0	|
flate2	1.1.4	0	|
freetype-sys	0.20.1	0	|
glutin_glx_sys	0.6.1	0	|
glutin_egl_sys	0.7.1	1	./crates-cache/glutin_egl_sys-0.7.1/src/egl.rs:236:    loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void,||
getrandom	0.2.16	0	|
getrandom	0.3.3	0	|
glutin_wgl_sys	0.6.1	0	|
gl_generator	0.14.0	4	./crates-cache/gl_generator-0.14.0/generators/debug_struct_gen.rs:190:                fn do_metaloadfn(loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void,|./crates-cache/gl_generator-0.14.0/generators/global_gen.rs:66:        fn metaloadfn(loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void,|./crates-cache/gl_generator-0.14.0/generators/global_gen.rs:289:            fn inner(loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void) {{|
hermit-abi	0.5.2	0	|
heck	0.5.0	0	|
home	0.5.11	5	./crates-cache/home-0.5.11/src/env.rs:46:pub fn home_dir_with_env(env: &dyn Env) -> Option<PathBuf> {|./crates-cache/home-0.5.11/src/env.rs:56:pub fn cargo_home_with_env(env: &dyn Env) -> io::Result<PathBuf> {|./crates-cache/home-0.5.11/src/env.rs:67:pub fn cargo_home_with_cwd_env(env: &dyn Env, cwd: &Path) -> io::Result<PathBuf> {|
inotify-sys	0.1.5	0	|
glutin	0.32.3	13	./crates-cache/glutin-0.32.3/src/display.rs:55:    ) -> Result<Box<dyn Iterator<Item = Self::Config> + '_>>;|./crates-cache/glutin-0.32.3/src/display.rs:270:    ) -> Result<Box<dyn Iterator<Item = Self::Config> + '_>> {|./crates-cache/glutin-0.32.3/src/api/glx/config.rs:26:    ) -> Result<Box<dyn Iterator<Item = Config> + '_>> {|
inotify	0.11.0	0	|
is_terminal_polyfill	1.70.1	0	|
itoa	1.0.15	0	|
jni-sys	0.3.0	0	|
hashbrown	0.16.0	5	./crates-cache/hashbrown-0.16.0/src/raw/mod.rs:1682:        eq: &mut dyn FnMut(usize) -> bool,|./crates-cache/hashbrown-0.16.0/src/raw/mod.rs:1895:    unsafe fn find_inner(&self, hash: u64, eq: &mut dyn FnMut(usize) -> bool) -> Option<usize> {|./crates-cache/hashbrown-0.16.0/src/raw/mod.rs:2631:        hasher: &dyn Fn(&mut Self, usize) -> u64,|
indexmap	2.11.4	4	./crates-cache/indexmap-2.11.4/tests/quick.rs:866:    fn shrink(&self) -> Box<dyn Iterator<Item = Self>> {|./crates-cache/indexmap-2.11.4/tests/quick.rs:891:    fn shrink(&self) -> Box<dyn Iterator<Item = Self>> {|./crates-cache/indexmap-2.11.4/src/arbitrary.rs:57:        fn shrink(&self) -> Box<dyn Iterator<Item = Self>> {|
jobserver	0.1.34	6	./crates-cache/jobserver-0.1.34/tests/client.rs:23:    f: &'static (dyn Fn() + Send + Sync),|./crates-cache/jobserver-0.1.34/tests/client.rs:25:    rule: &'static (dyn Fn(&str) -> String + Send + Sync),|./crates-cache/jobserver-0.1.34/src/windows.rs:225:    mut f: Box<dyn FnMut(io::Result<crate::Acquired>) + Send>,|
kqueue-sys	1.0.4	0	|
js-sys	0.3.81	21	./crates-cache/js-sys-0.3.81/src/lib.rs:360:    pub fn every(this: &Array, predicate: &mut dyn FnMut(JsValue, u32, Array) -> bool) -> bool;|./crates-cache/js-sys-0.3.81/src/lib.rs:374:    pub fn filter(this: &Array, predicate: &mut dyn FnMut(JsValue, u32, Array) -> bool) -> Array;|./crates-cache/js-sys-0.3.81/src/lib.rs:381:    pub fn find(this: &Array, predicate: &mut dyn FnMut(JsValue, u32, Array) -> bool) -> JsValue;|
lazy_static	1.5.0	0	|
kqueue	1.1.1	0	|
khronos_api	3.1.0	0	|
libredox	0.1.10	0	|
jni	0.21.1	0	|
libloading	0.8.9	1	./crates-cache/libloading-0.8.9/src/error.rs:95:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {||
libc	0.2.176	0	|
linux-raw-sys	0.11.0	0	|
